nohup: ignoring input
[Ideal_FP32 | Seed 0] Epoch 63/100 - Acc: 0.9657, Total Spikes: 3999676.0
[Ideal_FP32 | Seed 0] Epoch 64/100 - Acc: 0.9667, Total Spikes: 3998348.0
[Ideal_FP32 | Seed 0] Epoch 65/100 - Acc: 0.9650, Total Spikes: 4019948.0
[Ideal_FP32 | Seed 0] Epoch 66/100 - Acc: 0.9671, Total Spikes: 3996627.0
[Ideal_FP32 | Seed 0] Epoch 67/100 - Acc: 0.9672, Total Spikes: 4007992.0
[Ideal_FP32 | Seed 0] Epoch 68/100 - Acc: 0.9668, Total Spikes: 3988307.0
[Ideal_FP32 | Seed 0] Epoch 69/100 - Acc: 0.9662, Total Spikes: 4001397.0
[Ideal_FP32 | Seed 0] Epoch 70/100 - Acc: 0.9659, Total Spikes: 4016039.0
[Ideal_FP32 | Seed 0] Epoch 71/100 - Acc: 0.9666, Total Spikes: 4005961.0
[Ideal_FP32 | Seed 0] Epoch 72/100 - Acc: 0.9654, Total Spikes: 4005587.0
[Ideal_FP32 | Seed 0] Epoch 73/100 - Acc: 0.9660, Total Spikes: 4039626.0
[Ideal_FP32 | Seed 0] Epoch 74/100 - Acc: 0.9668, Total Spikes: 4023079.0
[Ideal_FP32 | Seed 0] Epoch 75/100 - Acc: 0.9671, Total Spikes: 4011322.0
[Ideal_FP32 | Seed 0] Epoch 76/100 - Acc: 0.9669, Total Spikes: 4014270.0
[Ideal_FP32 | Seed 0] Epoch 77/100 - Acc: 0.9667, Total Spikes: 4028987.0
[Ideal_FP32 | Seed 0] Epoch 78/100 - Acc: 0.9667, Total Spikes: 4019266.0
[Ideal_FP32 | Seed 0] Epoch 79/100 - Acc: 0.9658, Total Spikes: 4020116.0
[Ideal_FP32 | Seed 0] Epoch 80/100 - Acc: 0.9681, Total Spikes: 4028417.0
[Ideal_FP32 | Seed 0] Epoch 81/100 - Acc: 0.9669, Total Spikes: 4024823.0
[Ideal_FP32 | Seed 0] Epoch 82/100 - Acc: 0.9671, Total Spikes: 4012475.0
[Ideal_FP32 | Seed 0] Epoch 83/100 - Acc: 0.9669, Total Spikes: 4039567.0
[Ideal_FP32 | Seed 0] Epoch 84/100 - Acc: 0.9670, Total Spikes: 4028302.0
[Ideal_FP32 | Seed 0] Epoch 85/100 - Acc: 0.9675, Total Spikes: 4010621.0
[Ideal_FP32 | Seed 0] Epoch 86/100 - Acc: 0.9674, Total Spikes: 4018385.0
[Ideal_FP32 | Seed 0] Epoch 87/100 - Acc: 0.9677, Total Spikes: 4009987.0
[Ideal_FP32 | Seed 0] Epoch 88/100 - Acc: 0.9672, Total Spikes: 4003621.0
[Ideal_FP32 | Seed 0] Epoch 89/100 - Acc: 0.9671, Total Spikes: 4026810.0
[Ideal_FP32 | Seed 0] Epoch 90/100 - Acc: 0.9673, Total Spikes: 4015060.0
[Ideal_FP32 | Seed 0] Epoch 91/100 - Acc: 0.9675, Total Spikes: 4016639.0
[Ideal_FP32 | Seed 0] Epoch 92/100 - Acc: 0.9670, Total Spikes: 4032096.0
[Ideal_FP32 | Seed 0] Epoch 93/100 - Acc: 0.9665, Total Spikes: 4009879.0
[Ideal_FP32 | Seed 0] Epoch 94/100 - Acc: 0.9675, Total Spikes: 4031601.0
[Ideal_FP32 | Seed 0] Epoch 95/100 - Acc: 0.9667, Total Spikes: 4026768.0
[Ideal_FP32 | Seed 0] Epoch 96/100 - Acc: 0.9673, Total Spikes: 4029106.0
[Ideal_FP32 | Seed 0] Epoch 97/100 - Acc: 0.9677, Total Spikes: 4014489.0
[Ideal_FP32 | Seed 0] Epoch 98/100 - Acc: 0.9680, Total Spikes: 4029534.0
[Ideal_FP32 | Seed 0] Epoch 99/100 - Acc: 0.9667, Total Spikes: 4022912.0
[Ideal_FP32 | Seed 0] Epoch 100/100 - Acc: 0.9685, Total Spikes: 4003976.0
[Ideal_FP32 | Seed 1] Epoch 1/100 - Acc: 0.8193, Total Spikes: 4090879.0
[Ideal_FP32 | Seed 1] Epoch 2/100 - Acc: 0.8805, Total Spikes: 4238512.0
[Ideal_FP32 | Seed 1] Epoch 3/100 - Acc: 0.9038, Total Spikes: 4225384.0
[Ideal_FP32 | Seed 1] Epoch 4/100 - Acc: 0.9156, Total Spikes: 4216724.0
[Ideal_FP32 | Seed 1] Epoch 5/100 - Acc: 0.9252, Total Spikes: 4233244.0
[Ideal_FP32 | Seed 1] Epoch 6/100 - Acc: 0.9289, Total Spikes: 4235355.0
[Ideal_FP32 | Seed 1] Epoch 7/100 - Acc: 0.9314, Total Spikes: 4249558.0
[Ideal_FP32 | Seed 1] Epoch 8/100 - Acc: 0.9362, Total Spikes: 4274325.0
[Ideal_FP32 | Seed 1] Epoch 9/100 - Acc: 0.9404, Total Spikes: 4270258.0
[Ideal_FP32 | Seed 1] Epoch 10/100 - Acc: 0.9409, Total Spikes: 4256501.0
[Ideal_FP32 | Seed 1] Epoch 11/100 - Acc: 0.9439, Total Spikes: 4277290.0
[Ideal_FP32 | Seed 1] Epoch 12/100 - Acc: 0.9447, Total Spikes: 4285911.0
[Ideal_FP32 | Seed 1] Epoch 13/100 - Acc: 0.9449, Total Spikes: 4287988.0
[Ideal_FP32 | Seed 1] Epoch 14/100 - Acc: 0.9471, Total Spikes: 4309132.0
